Country,Commodity,Side,Type,Elasticity,Notes,Year
"Africa, Other",Corn,Demand,Own-price,-0.1,Food,0
"Africa, Other",Corn,Demand,Own-price,-0.11,Feed,0
"Africa, Other",Corn,Supply,Own-price,0.07,Area,0
Algeria,Corn,Demand,Own-price,-0.22,Feed,0
Argentina,Corn,Demand,Own-price,-0.33,Feed,0
Argentina,Corn,Demand,Own-price,-0.37,Food,0
Argentina,Corn,Supply,Own-price,0.7,Area,0
"Asia, Other",Corn,Demand,Own-price,-0.07,Feed,0
"Asia, Other",Corn,Demand,Own-price,-0.19,Food,0
"Asia, Other",Corn,Supply,Own-price,0.14,Area,0
Australia,Corn,Demand,Own-price,-0.35,Feed,0
Australia,Corn,Demand,Own-price,-0.3,Food,0
Australia,Corn,Supply,Own-price,0.23,Area,0
Brazil,Corn,Demand,Own-price,-0.39,Feed,0
Brazil,Corn,Demand,Own-price,-0.11,Food,0
Brazil,Corn,Supply,Own-price,0.42,Area,0
Canada,Corn,Demand,Own-price,-0.25,Food,0
Canada,Corn,Demand,Own-price,-0.21,Feed,0
Canada,Corn,Supply,Own-price,0.18,Area,0
China,Corn,Demand,Own-price,-0.06,Feed,0
China,Corn,Demand,Own-price,-0.14,Food,0
China,Corn,Supply,Own-price,0.13,Area,0
"Eastern Europe, Other",Corn,Demand,Own-price,-0.1,Food,0
"Eastern Europe, Other",Corn,Demand,Own-price,-0.14,Feed,0
"Eastern Europe, Other",Corn,Supply,Own-price,0.07,Area,0
Egypt,Corn,Demand,Own-price,-0.36,Food,0
Egypt,Corn,Demand,Own-price,-0.31,Feed,0
Egypt,Corn,Supply,Own-price,0.25,Area,0
European Union - 15,Corn,Demand,Own-price,-0.44,Food,0
European Union - 15,Corn,Demand,Own-price,-0.24,Feed,0
European Union - 15,Corn,Supply,Own-price,0.08,Area,0
European Union New Member States,Corn,Demand,Own-price,-0.34,Feed,0
European Union New Member States,Corn,Demand,Own-price,-0.25,Food,0
European Union New Member States,Corn,Supply,Own-price,0.26,Area,0
"Former Soviet Union, Other",Corn,Demand,Own-price,-0.07,Feed,0
"Former Soviet Union, Other",Corn,Demand,Own-price,-0.08,Food,0
"Former Soviet Union, Other",Corn,Supply,Own-price,0.09,Area,0
India,Corn,Demand,Own-price,-0.22,Food,0
India,Corn,Demand,Own-price,-0.28,Feed,0
India,Corn,Supply,Own-price,0.21,Area,0
Indonesia,Corn,Demand,Own-price,-0.17,Feed,0
Indonesia,Corn,Demand,Own-price,-0.19,Food,0
Indonesia,Corn,Supply,Own-price,0.28,Area,0
Israel,Corn,Demand,Own-price,-0.33,Food,0
Israel,Corn,Demand,Own-price,-0.27,Feed,0
Japan,Corn,Demand,Own-price,-0.02,Feed,0
Japan,Corn,Demand,Own-price,-0.21,Food,0
"Latin America, Other",Corn,Demand,Own-price,-0.2,Food,0
"Latin America, Other",Corn,Demand,Own-price,-0.14,Feed,0
"Latin America, Other",Corn,Supply,Own-price,0.1,Area,0
Malaysia,Corn,Demand,Own-price,-0.19,Food,0
Malaysia,Corn,Demand,Own-price,-0.39,Feed,0
Malaysia,Corn,Supply,Own-price,0.23,Area,0
Mexico,Corn,Demand,Own-price,-0.12,Food,0
Mexico,Corn,Demand,Own-price,-0.15,Feed,0
Mexico,Corn,Supply,Own-price,0.22,Area,0
"Middle East, Other",Corn,Demand,Own-price,-0.24,Feed,0
"Middle East, Other",Corn,Demand,Own-price,-0.13,Food,0
"Middle East, Other",Corn,Supply,Own-price,0.09,Area,0
Pakistan,Corn,Demand,Own-price,-0.39,Food,0
Pakistan,Corn,Supply,Own-price,0.28,Area,0
Russia,Corn,Demand,Own-price,-0.2,Feed,0
Russia,Corn,Demand,Own-price,-0.37,Food,0
Russia,Corn,Supply,Own-price,0.31,Area,0
South Africa,Corn,Demand,Own-price,-0.13,Feed,0
South Africa,Corn,Demand,Own-price,-0.25,Food,0
South Africa,Corn,Supply,Own-price,0.28,Area,0
South Korea,Corn,Demand,Own-price,-0.38,Food,0
South Korea,Corn,Demand,Own-price,-0.22,Feed,0
Taiwan,Corn,Demand,Own-price,-0.14,Feed,0
Taiwan,Corn,Demand,Own-price,-0.48,Food,0
Taiwan,Corn,Supply,Own-price,0.52,Area,0
Thailand,Corn,Demand,Own-price,-0.03,Feed,0
Thailand,Corn,Demand,Own-price,-0.21,Food,0
Thailand,Corn,Supply,Own-price,0.15,Area,0
Ukraine,Corn,Demand,Own-price,-0.51,Food,0
Ukraine,Corn,Demand,Own-price,-0.19,Feed,0
Ukraine,Corn,Supply,Own-price,0.28,Area,0
Vietnam,Corn,Demand,Own-price,-0.1,Feed,0
Vietnam,Corn,Demand,Own-price,-0.22,Food,0
Vietnam,Corn,Supply,Own-price,0.08,Area,0
"Africa, Other","Rice, All",Demand,Income,0.1,,0
Argentina,"Rice, All",Demand,Income,0.11,,0
Australia,"Rice, All",Demand,Income,0.43,,0
Bangladesh,"Rice, All",Demand,Income,-0.04,,0
Brazil,"Rice, All",Demand,Income,-0.05,,0
Canada,"Rice, All",Demand,Income,0.47,,0
China,"Rice, All",Demand,Income,-0.07,,0
China,"Rice, All",Demand,Income,-0.19,Hong Kong,0
Egypt,"Rice, All",Demand,Income,0.3,,0
European Union,"Rice, All",Demand,Income,0.38,,0
India,"Rice, All",Demand,Income,-0.04,,0
Indonesia,"Rice, All",Demand,Income,-0.12,,0
Iran,"Rice, All",Demand,Income,0.2,,0
Iraq,"Rice, All",Demand,Income,0.14,,0
Ivory Coast,"Rice, All",Demand,Income,0.14,,0
Japan,"Rice, All",Demand,Income,-0.26,,0
Malaysia,"Rice, All",Demand,Income,0.09,,0
Mexico,"Rice, All",Demand,Income,0.46,,0
Myanmar,"Rice, All",Demand,Income,0.13,,0
Nigeria,"Rice, All",Demand,Income,0.25,,0
Pakistan,"Rice, All",Demand,Income,0.1,,0
Philippines,"Rice, All",Demand,Income,0.15,,0
Saudi Arabia,"Rice, All",Demand,Income,0.1,,0
South Africa,"Rice, All",Demand,Income,0.47,,0
South Korea,"Rice, All",Demand,Income,-0.27,,0
Taiwan,"Rice, All",Demand,Income,-0.03,,0
Thailand,"Rice, All",Demand,Income,-0.16,,0
Turkey,"Rice, All",Demand,Income,0.4,,0
United States,"Rice, All",Demand,Income,0.34,,0
Uruguay,"Rice, All",Demand,Income,0.5,,0
Vietnam,"Rice, All",Demand,Income,-0.23,,0
Argentina,Soybeans,Demand,Own-price,-0.25,Feed,0
Argentina,Soybeans,Demand,Own-price,0.2,Crush Margin,0
Argentina,Soybeans,Supply,Own-price,0.32,Area,0
Brazil,Soybeans,Demand,Own-price,-0.16,Feed,0
Brazil,Soybeans,Demand,Own-price,0.08,Crush Margin,0
Brazil,Soybeans,Supply,Own-price,0.34,Area,0
Canada,Soybeans,Demand,Own-price,0.25,Crush Margin,0
Canada,Soybeans,Demand,Own-price,-0.25,Feed,0
Canada,Soybeans,Supply,Own-price,0.32,Area,0
China,Soybeans,Demand,Own-price,-0.2,Food,0
China,Soybeans,Demand,Own-price,0.15,Crush Margin,0
China,Soybeans,Supply,Own-price,0.45,Area,0
CIS Republics,Soybeans,Demand,Own-price,-0.2,Feed,0
CIS Republics,Soybeans,Demand,Own-price,0.25,Crush Margin,0
CIS Republics,Soybeans,Supply,Own-price,0.42,Area,0
European Union - 15,Soybeans,Demand,Own-price,0.1,Crush Margin,0
European Union - 15,Soybeans,Demand,Own-price,-0.25,Food,0
European Union - 15,Soybeans,Demand,Own-price,-0.24,Feed,0
European Union - 15,Soybeans,Supply,Own-price,0.19,Area,0
European Union New Member States,Soybeans,Demand,Own-price,0.2,Crush Margin,0
European Union New Member States,Soybeans,Demand,Own-price,-0.2,Feed,0
European Union New Member States,Soybeans,Supply,Own-price,0.31,Area,0
India,Soybeans,Demand,Own-price,0.15,Crush Margin,0
India,Soybeans,Demand,Own-price,-0.3,Food,0
India,Soybeans,Supply,Own-price,0.36,Area,0
Japan,Soybeans,Demand,Own-price,-0.4,Food,0
Japan,Soybeans,Demand,Own-price,0.25,Crush Margin,0
Japan,Soybeans,Supply,Own-price,0.37,Area,0
South Korea,Soybeans,Demand,Own-price,0.25,Crush Margin,0
South Korea,Soybeans,Demand,Own-price,-0.15,Food,0
South Korea,Soybeans,Supply,Own-price,0.36,Area,0
Taiwan,Soybeans,Demand,Own-price,-0.3,Food,0
Taiwan,Soybeans,Demand,Own-price,0.15,Crush Margin,0
Taiwan,Soybeans,Supply,Own-price,0.15,Area,0
Argentina,Sugarcane,Supply,Own-price,0.09,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Australia,Sugarcane,Supply,Own-price,0.14,Refined sugar pool price=ƒ(World raw sugar price),0
Brazil,Sugarcane,Supply,Own-price,0.2,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
China,Sugarcane,Supply,Own-price,0.09,Sugarcane farm price=ƒ(Retail refined sugar price),0
Colombia,Sugarcane,Supply,Own-price,0.11,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Cuba,Sugarcane,Supply,Own-price,0.08,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Egypt,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
European Union - 15,Sugarcane,Supply,Own-price,0.31,Basic beet price,0
Guatemala,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
India,Sugarcane,Supply,Own-price,0.21,Sugarcane farm price=ƒ(World raw sugar price),0
Indonesia,Sugarcane,Supply,Own-price,0.08,Cane/rice net returns,0
Iran,Sugarcane,Supply,Own-price,0.06,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Japan,Sugarcane,Supply,Own-price,0.18,Sugarcane farm price=ƒ(Retail refined sugar price),0
Malaysia,Sugarcane,Supply,Own-price,0.09,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Mexico,Sugarcane,Supply,Own-price,0.2,Standard refined sugar price,0
Morocco,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Pakistan,Sugarcane,Supply,Own-price,0.07,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Peru,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Philippines,Sugarcane,Supply,Own-price,0.11,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
South Africa,Sugarcane,Supply,Own-price,0.12,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Thailand,Sugarcane,Supply,Own-price,0.17,Sugarcane farm price=ƒ(World raw sugar price),0
Venezuela,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
